id,ticker,sent,msg,u,t,/,2,0,1,8,-,1,1,-,2,3,.,c,s,v
146038841,AMD,Bullish,$AMD HUGE PAIR OF BOOBS ON THE 1MIN,,,,,,,,,,,,,,,,,
146038838,AMD,Bullish,$AAPL short squeeze underway for close... $amd,,,,,,,,,,,,,,,,,
146038836,AMD,Bullish,"$AMD Been using this beautifully designed speed demon for 3-months 👍🏻 I support this great company! BlackFriday🛍 
#LongAMD 
#BelieveInSu",,,,,,,,,,,,,,,,,
146038659,AMD,Bullish,$AMD Watching AMD over 19.58,,,,,,,,,,,,,,,,,
146038411,AMD,Bullish,$AMD these bears are pathetic. Over vwap and we are to the muunn,,,,,,,,,,,,,,,,,
146038343,AMD,Bullish,$AMD action looks like someone knows something.,,,,,,,,,,,,,,,,,
146038329,AMD,Bullish,$AMD another day on the way to #86.,,,,,,,,,,,,,,,,,
146038305,AMD,Bullish,$AMD yeah... calls...,,,,,,,,,,,,,,,,,
146038047,AMD,Bullish,$AMD HOWS IT FEEL BEARS!!?????,,,,,,,,,,,,,,,,,
146038995,JD,Bullish,$JD should have used a condom...,,,,,,,,,,,,,,,,,
146038966,JD,Bearish,$BABA $JD trump and pence will destroy china.,,,,,,,,,,,,,,,,,
146038161,JD,Bullish,$JD i thought 18500 shrs was enough but if goes down more I&#39,m  buying more. Sale of the millennium.,,,,,,,,,,,,,,,,
146037189,JD,Bearish,$JD still 56 minutes to get to $19,,,,,,,,,,,,,,,,,
146037148,JD,Bearish,$JD buyer@12.5,,,,,,,,,,,,,,,,,
146036864,JD,Bullish,$JD https://www8.gsb.columbia.edu/valueinvesting/sites/valueinvesting/files/Graham%20%26%20Doddsville_Issue%2034_v22.pdf JD IS ON PAGE 17 IF YOU WANT TO READ SOMETHING GOOD,,,,,,,,,,,,,,,,,
146035853,JD,Bullish,$JD I’ll keep on liquidating other positions to add JD!!! No joke!!! We got a winner here!!!,,,,,,,,,,,,,,,,,
146034625,JD,Bullish,$JD Vanguard just added 1M shares and Morgan added 3.1M shares,,,,,,,,,,,,,,,,,
