id,ticker,sent,msg,comment,t,/,2,0,1,8,-,1,1,-,2,6,.,c,s,v
146029831,TCEHY,Bullish,$JD $KWEB $TCEHY Great summary of Hayden Capital&#39,s 3Q18 Letter -- Update and Long Thesis for jd.com  https://investoralmanac.com/2018/11/18/hayden-capital-3q18-letter-update-and-thesis-for-jd-com/,,,,,,,,,,,,,,,,
146004369,TCEHY,Bullish,$JD $KWEB $TCEHY Great summary of Hayden Capital&#39,s 3Q18 Letter -- Update and Long Thesis for JD.com  https://investoralmanac.com/2018/11/18/hayden-capital-3q18-letter-update-and-thesis-for-jd-com/,,,,,,,,,,,,,,,,
145997685,TCEHY,Bullish,$BABA $MSFT $CYOU $EXPR $JNJ $MU $AMD $TCEHY $JD  $BIDU #stocktobuynow #hotnow #tradealerts #fomostock https://gearupinvestor.com/blog/best-stock-to-buy-right-now-november-2018/,,,,,,,,,,,,,,,,,
145971444,TCEHY,Bullish,PivotPoint bottom identified: $TCEHY. More insights: https://stockinvest.us/technical-analysis/TCEHY?utm_source=stocktwits&amp,utm_medium=post,,,,,,,,,,,,,,,,
145964671,TCEHY,Bullish,$JD $KWEB $TCEHY Great summary of Hayden Capital&#39,s 3Q18 Letter -- Update and Long Thesis for JD.com  https://investoralmanac.com/2018/11/18/hayden-capital-3q18-letter-update-and-thesis-for-jd-com/,,,,,,,,,,,,,,,,
145961779,TCEHY,Bullish,"$BABA $MSFT $CYOU $EXPR $JNJ $MU $AMD $TCEHY $JD  $BIDU #stocktobuynow #hotnow #tradealerts #fomostock
 https://gearupinvestor.com/blog/best-stock-to-buy-right-now-november-2018/",,,,,,,,,,,,,,,,,
146166477,AMD,Bullish,$AMD brutal. Making money from both sides.,,,,,,,,,,,,,,,,,
146166471,AMD,Bearish,"$BTC_F $BTC.X $CBASE  $LTC.X 
Crypto price reset 🔻80%-98%

Contagion drag🔻 $nvda $amd $soxx $qqq",,,,,,,,,,,,,,,,,
146166422,AMD,Bullish,$AMD Tomorrow Lisa will let world know they are using old technology and they need to buy AMD,,,,,,,,,,,,,,,,,
146166333,AMD,Bearish,$AMD nooooooooooooo! go back to red!,,,,,,,,,,,,,,,,,
146166277,AMD,Bullish,"$AAPL 172 looks like your correction bottom, if the fed steps back and realizes   a rate hike isn&#39;t needed, marker will roar $AMD",,,,,,,,,,,,,,,,,
146166224,AMD,Bullish,"$AMD Wonder if they&#39;ll choose AMD!

https://seekingalpha.com/news/3412114-ellie-mae-moves-infrastructure-amazon-web-services?app=1&amp;dr=1#email_link",,,,,,,,,,,,,,,,,
146165790,AMD,Bearish,$AMD going to $17 better sell or hold on for the ride.,,,,,,,,,,,,,,,,,
146165364,AMD,Bullish,$AMD people with all these new jobs have more money to buy tech,,,,,,,,,,,,,,,,,
146165316,AMD,Bullish,$AMD we all know tech isn&#39,t going to slow down... people want more and newer... also population increasing exponentially-- more jobs,,,,,,,,,,,,,,,,
